"FAST School of Computing, NUCES, Islamabad",,,,,,,,,
"Allocation of Computing Theory Courses, Spring-2023",,,,,,,,,
S.#,Code,Course,CHs,Section,Course Instructor,Course Coordinator,,,
BS Batch 2022,,,,,,,,Dr. Adeel Mumtaz (visting),1
,CS-1004,Object Oriented Programming (CS),3,CS-2B,Mr. Shehreyar Rashid,Mr. Shehreyar Rashid,,Dr. Adnan Tariq,3
,,,,CS-2C,Mr. Shehreyar Rashid,,,Dr. Aftab Ahmed Maroof,1
,,,,CS-2G,Mr. Shehreyar Rashid,,,Dr. Ahmad Raza Shahid,2
,,,,CS-2D,Ms. Amna Irum,,,Dr. Akhtar Jamil,2
,,,,CS-2E,Ms. Amna Irum,,,Dr. Amna Basharat,3
,,,,CS-2A,Mr. Shams Farooq,Ms. Marium Hida,,Dr. Ejaz Ahmed,4
,,,,CS-2F,Mr. Shams Farooq,,,Dr. Faisal Cheema,3
,,,,CS-2H,Mr. Shams Farooq,,,Dr. Hammad Majeed,5
,,,,CS-2J,Ms. Marium Hida,,,Dr. Javeria Imtiaz,2
,,,,CS-2K,Ms. Marium Hida,,,Dr. Kashif Munir,2
,,,,CS-Z,Dr. Javeria Imtiaz,Dr. Javeria Imtiaz,,Dr. Labiba Fahad,3
,EE-1005,Digital Logic Design (CS),3,CS-2A,Ms. Nirmal Tariq,Mr. Shahzad Ahmed (EE),,Dr. Mehreen Alam,2
,,,,CS-2B,Mr. Shahzad Ahmed (EE),,,Dr. Muhammad Aleem,4
,,,,CS-2C,Mr. Shahzad Ahmed (EE),,,Dr. Muhammad Arshad Islam,2
,,,,CS-2D,Mr. Shahzad Ahmed (EE),,,Dr. Muneeb Ullah,3
,,,,CS-2E,Mr. M. Awais (EE),Dr. Mehwish (S&H),,Dr. Noreen Jamil,3
,,,,CS-2F,Dr. Niaz Ahmed (EE),,,Dr. Shujaat Hussain,2
,,,,CS-2G,Dr. Niaz Ahmed (EE),,,Mr. Majid Hussain,4
,,,,CS-2H,Mr. M. Awais (EE),,,Mr. Muhammad Almas Khan,3
,,,,CS-2J,Dr. Mehwish (S&H),,,Mr. Owais Idrees,3
,,,,CS-2K,Dr. Mehwish (S&H),,,Mr. Rohail Gulbaz,2
,CS-1004,Object Oriented Programming (AI),3,AI-2A,Mr. Hassan Raza,Mr. Hassan Raza,,Mr. Saad Salman,4
,,,,AI-2B,Mr. Adil Majeed,,,Mr. Shams Farooq,3
,,,,AI-2C,Mr. Adil Majeed,,,Mr. Shehreyar Rashid,3
,,,,AI-2D,Mr. Adil Majeed,,,Mr. Shoaib Mehboob,3
,CS-1005,Discrete Structures,3,AI-2A,Ms. Saira Qamar,Ms. Saira Qamar,,Ms. Amna Irum,3
,,,,AI-2B,Ms. Saira Qamar,,,Ms. Madiha Umar (visiting),0
,,,,AI-2C,Ms. Sobia Rasheed,,,Ms. Marium Hida,2
,,,,AI-2D,Ms. Saira Qamar,,,Ms. Nirmal Tariq,3
,CS-1004,Object Oriented Programming (DS),3,DS-2A,Mr. Hassan Raza,Mr. Hassan Raza,,Ms. Noor ul Ain,3
,,,,DS-2B,Mr. Adil Majeed,,,Ms. Sidra Khalid,3
,,,,DS-2C,Dr. M. Ishtiaq,,,Ms. Tajwar Mehmood,3
,,,,DS-2D,Dr. M. Ishtiaq,,,Mr. Muhammad Aamir Gulzar,3
,CS-1005,Discrete Structures (DS),3,DS-2A,Dr. Abid Rauf,Ms. Saira Qamar,,Mr. Muhammad Usman Khan,4
,,,,DS-2B,Dr. Abid Rauf,,,Mr. Salman Iqbal,4
,,,,DS-2C,Dr. Abid Rauf,,,Ms. Amina Siddique,3
,,,,DS-2D,Dr. Abid Rauf,,,Ms. Amna Hassan,4
,CS-1004,Object Oriented Programming (SE),3,SE-2A,Ms. Maheen Arshad,Mr. Bilal Khalid Dar,,Ms. Bushra Fatima Tariq,3
,,,,SE-2B,Ms. Maheen Arshad,,,Ms. Fizza Asif Malik,0
,,,,SE-2C,Ms. Maheen Arshad,,,Ms. Hira Mastoor,2
,,,,SE-2D,Mr. Bilal Khalid Dar,,,Ms. Huma Altaf,4
,,,,SE-2E,Mr. Bilal Khalid Dar,,,Ms. Javeria Zia,4
